YEAR,M,CPI,CPI_SA,EMP,UNEMP,EMP_SA,UNEMP_SA
1961,1,15.7,.,.,.,.,.
1961,2,15.7,.,.,.,.,.
1961,3,15.7,.,.,.,.,.
1961,4,15.7,.,.,.,.,.
1961,5,15.7,.,.,.,.,.
1961,6,15.7,.,.,.,.,.
1961,7,15.7,.,.,.,.,.
1961,8,15.7,.,.,.,.,.
1961,9,15.7,.,.,.,.,.
1961,10,15.7,.,.,.,.,.
1961,11,15.7,.,.,.,.,.
1961,12,15.7,.,.,.,.,.
1962,1,15.7,.,.,.,.,.
1962,2,15.7,.,.,.,.,.
1962,3,15.7,.,.,.,.,.
1962,4,15.8,.,.,.,.,.
1962,5,15.8,.,.,.,.,.
1962,6,15.9,.,.,.,.,.
1962,7,15.9,.,.,.,.,.
1962,8,16,.,.,.,.,.
1962,9,15.9,.,.,.,.,.
1962,10,16,.,.,.,.,.
1962,11,16,.,.,.,.,.
1962,12,16,.,.,.,.,.
1963,1,16,.,.,.,.,.
1963,2,16,.,.,.,.,.
1963,3,16,.,.,.,.,.
1963,4,16,.,.,.,.,.
1963,5,16,.,.,.,.,.
1963,6,16,.,.,.,.,.
1963,7,16.2,.,.,.,.,.
1963,8,16.3,.,.,.,.,.
1963,9,16.2,.,.,.,.,.
1963,10,16.2,.,.,.,.,.
1963,11,16.3,.,.,.,.,.
1963,12,16.3,.,.,.,.,.
1964,1,16.3,.,.,.,.,.
1964,2,16.3,.,.,.,.,.
1964,3,16.3,.,.,.,.,.
1964,4,16.4,.,.,.,.,.
1964,5,16.4,.,.,.,.,.
1964,6,16.4,.,.,.,.,.
1964,7,16.5,.,.,.,.,.
1964,8,16.5,.,.,.,.,.
1964,9,16.5,.,.,.,.,.
1964,10,16.5,.,.,.,.,.
1964,11,16.5,.,.,.,.,.
1964,12,16.6,.,.,.,.,.
1965,1,16.6,.,.,.,.,.
1965,2,16.6,.,.,.,.,.
1965,3,16.6,.,.,.,.,.
1965,4,16.7,.,.,.,.,.
1965,5,16.7,.,.,.,.,.
1965,6,16.9,.,.,.,.,.
1965,7,16.9,.,.,.,.,.
1965,8,16.9,.,.,.,.,.
1965,9,16.9,.,.,.,.,.
1965,10,16.9,.,.,.,.,.
1965,11,17,.,.,.,.,.
1965,12,17.1,.,.,.,.,.
1966,1,17.1,.,.,.,.,.
1966,2,17.2,.,.,.,.,.
1966,3,17.3,.,.,.,.,.
1966,4,17.4,.,.,.,.,.
1966,5,17.4,.,.,.,.,.
1966,6,17.5,.,.,.,.,.
1966,7,17.5,.,.,.,.,.
1966,8,17.6,.,.,.,.,.
1966,9,17.6,.,.,.,.,.
1966,10,17.6,.,.,.,.,.
1966,11,17.6,.,.,.,.,.
1966,12,17.7,.,.,.,.,.
1967,1,17.7,.,.,.,.,.
1967,2,17.7,.,.,.,.,.
1967,3,17.8,.,.,.,.,.
1967,4,17.9,.,.,.,.,.
1967,5,18,.,.,.,.,.
1967,6,18.1,.,.,.,.,.
1967,7,18.2,.,.,.,.,.
1967,8,18.3,.,.,.,.,.
1967,9,18.3,.,.,.,.,.
1967,10,18.3,.,.,.,.,.
1967,11,18.3,.,.,.,.,.
1967,12,18.4,.,.,.,.,.
1968,1,18.5,.,.,.,.,.
1968,2,18.5,.,.,.,.,.
1968,3,18.6,.,.,.,.,.
1968,4,18.6,.,.,.,.,.
1968,5,18.6,.,.,.,.,.
1968,6,18.7,.,.,.,.,.
1968,7,18.9,.,.,.,.,.
1968,8,19,.,.,.,.,.
1968,9,19,.,.,.,.,.
1968,10,19,.,.,.,.,.
1968,11,19.2,.,.,.,.,.
1968,12,19.2,.,.,.,.,.
1969,1,19.2,.,.,.,.,.
1969,2,19.2,.,.,.,.,.
1969,3,19.3,.,.,.,.,.
1969,4,19.6,.,.,.,.,.
1969,5,19.6,.,.,.,.,.
1969,6,19.7,.,.,.,.,.
1969,7,19.8,.,.,.,.,.
1969,8,19.9,.,.,.,.,.
1969,9,19.9,.,.,.,.,.
1969,10,19.9,.,.,.,.,.
1969,11,19.9,.,.,.,.,.
1969,12,20.1,.,.,.,.,.
1970,1,20.2,.,.,.,.,.
1970,2,20.2,.,.,.,.,.
1970,3,20.2,.,.,.,.,.
1970,4,20.3,.,.,.,.,.
1970,5,20.3,.,.,.,.,.
1970,6,20.3,.,.,.,.,.
1970,7,20.5,.,.,.,.,.
1970,8,20.5,.,.,.,.,.
1970,9,20.4,.,.,.,.,.
1970,10,20.4,.,.,.,.,.
1970,11,20.4,.,.,.,.,.
1970,12,20.3,.,.,.,.,.
1971,1,20.4,.,.,.,.,.
1971,2,20.5,.,.,.,.,.
1971,3,20.5,.,.,.,.,.
1971,4,20.7,.,.,.,.,.
1971,5,20.7,.,.,.,.,.
1971,6,20.8,.,.,.,.,.
1971,7,21,.,.,.,.,.
1971,8,21.2,.,.,.,.,.
1971,9,21.1,.,.,.,.,.
1971,10,21.2,.,.,.,.,.
1971,11,21.2,.,.,.,.,.
1971,12,21.3,.,.,.,.,.
1972,1,21.4,.,.,.,.,.
1972,2,21.5,.,.,.,.,.
1972,3,21.6,.,.,.,.,.
1972,4,21.7,.,.,.,.,.
1972,5,21.7,.,.,.,.,.
1972,6,21.7,.,.,.,.,.
1972,7,22,.,.,.,.,.
1972,8,22.2,.,.,.,.,.
1972,9,22.3,.,.,.,.,.
1972,10,22.3,.,.,.,.,.
1972,11,22.3,.,.,.,.,.
1972,12,22.4,.,.,.,.,.
1973,1,22.6,.,.,.,.,.
1973,2,22.8,.,.,.,.,.
1973,3,22.8,.,.,.,.,.
1973,4,23.1,.,.,.,.,.
1973,5,23.2,.,.,.,.,.
1973,6,23.4,.,.,.,.,.
1973,7,23.7,.,.,.,.,.
1973,8,24,.,.,.,.,.
1973,9,24.1,.,.,.,.,.
1973,10,24.2,.,.,.,.,.
1973,11,24.4,.,.,.,.,.
1973,12,24.5,.,.,.,.,.
1974,1,24.7,.,.,.,.,.
1974,2,24.9,.,.,.,.,.
1974,3,25.2,.,.,.,.,.
1974,4,25.4,.,.,.,.,.
1974,5,25.9,.,.,.,.,.
1974,6,26.1,.,.,.,.,.
1974,7,26.3,.,.,.,.,.
1974,8,26.6,.,.,.,.,.
1974,9,26.8,.,.,.,.,.
1974,10,27.1,.,.,.,.,.
1974,11,27.3,.,.,.,.,.
1974,12,27.6,.,.,.,.,.
1975,1,27.6,.,.,.,.,.
1975,2,27.9,.,.,.,.,.
1975,3,28,.,.,.,.,.
1975,4,28.2,.,.,.,.,.
1975,5,28.5,.,.,.,.,.
1975,6,28.8,.,.,.,.,.
1975,7,29.2,.,.,.,.,.
1975,8,29.5,.,.,.,.,.
1975,9,29.6,.,.,.,.,.
1975,10,29.8,.,.,.,.,.
1975,11,30.1,.,.,.,.,.
1975,12,30.2,.,.,.,.,.
1976,1,30.3,.,9271.4,815.7,9636.7,733
1976,2,30.5,.,9324.5,808.2,9659.8,730
1976,3,30.6,.,9428.4,776.7,9704.2,691.5
1976,4,30.7,.,9503,773.2,9738.2,713.1
1976,5,30.9,.,9766.4,714.9,9726.1,720
1976,6,31.1,.,10030.9,708.4,9748.3,721.3
1976,7,31.3,.,10221.8,785.8,9759.5,779.9
1976,8,31.3,.,10206.6,715.1,9780.5,743.6
1976,9,31.5,.,9864,668.5,9795.2,736.7
1976,10,31.7,.,9844.1,683,9782.5,782.6
1976,11,31.8,.,9789.7,717.8,9829,780.5
1976,12,31.9,.,9719.1,758.3,9862.6,794.8
1977,1,32.2,.,9485.7,894.3,9869.3,811.8
1977,2,32.4,.,9534.7,931.4,9874.2,842
1977,3,32.8,.,9591.3,939,9865.7,836
1977,4,33,.,9649.1,922,9892.6,849
1977,5,33.4,.,9996.2,832.6,9912,837.8
1977,6,33.5,.,10183,822,9906.9,842
1977,7,33.9,.,10373.3,883.2,9911.4,872.9
1977,8,33.9,.,10369.5,845.2,9936.6,882.8
1977,9,34.2,.,10004.4,812.8,9937,902
1977,10,34.5,.,10025.5,798.9,9962.1,913.4
1977,11,34.7,.,9939.6,848.9,9976.3,925.4
1977,12,34.9,.,9853.5,886.4,10002.3,926.6
1978,1,35.1,.,9625,990.4,10013,905.1
1978,2,35.4,.,9728.8,1007.8,10067.5,913.8
1978,3,35.7,.,9828.7,1056.2,10100.3,941.2
1978,4,35.8,.,9877.5,1012.8,10128.7,931.6
1978,5,36.3,.,10224,949.8,10146.7,953.9
1978,6,36.6,.,10481.7,913.2,10207.6,938.5
1978,7,37.1,.,10723.9,941.3,10255,933.4
1978,8,37.2,.,10732.1,907.7,10287.5,948
1978,9,37.1,.,10371.1,857.8,10305.5,947.2
1978,10,37.6,.,10433.8,809.6,10368.8,924.8
1978,11,37.8,.,10350.3,867.5,10387.2,945.7
1978,12,37.9,.,10266.5,897.1,10428.3,937.8
1979,1,38.1,.,10075.5,1016.3,10483.1,938.2
1979,2,38.6,.,10145.4,1001.4,10490,917.3
1979,3,39,.,10264.2,1012,10535.9,904.9
1979,4,39.3,.,10343.8,976.4,10560.8,914.1
1979,5,39.7,.,10684.2,870.7,10611.4,871.8
1979,6,39.9,.,10923.1,829.9,10645.4,850.7
1979,7,40.2,.,11199.3,811,10702.1,834.9
1979,8,40.3,.,11204,790.6,10742.1,821.7
1979,9,40.7,.,10819.8,740.9,10756.5,812.5
1979,10,41,.,10866.1,769.7,10809,843.2
1979,11,41.4,.,10798.4,791.5,10841.3,836.8
1979,12,41.6,.,10699.1,807.8,10859.9,848.1
1980,1,41.8,.,10508.8,971.5,10882.6,877.5
1980,2,42.3,.,10551,969.2,10902.9,894
1980,3,42.6,.,10629.6,998.4,10897.8,901
1980,4,42.9,.,10705,967.1,10938.3,908.3
1980,5,43.4,.,10952.9,926.8,10891.6,923.9
1980,6,43.9,.,11274.8,915.2,10936.8,918.3
1980,7,44.2,.,11425.7,888.5,10935,905.6
1980,8,44.7,.,11442.2,867.6,10970.3,907.9
1980,9,45,.,11123.3,799.3,11051.9,876.2
1980,10,45.4,.,11142.1,794.5,11083.1,873.1
1980,11,46,.,11083.3,808.7,11127,857.7
1980,12,46.2,.,10970,837,11140,874.1
1981,1,46.9,.,10806.4,972.9,11206.5,892.3
1981,2,47.4,.,10929.7,959,11283.3,899.8
1981,3,48,.,10984.9,1017.2,11278.7,902.4
1981,4,48.3,.,11071.5,919.6,11315.8,868.3
1981,5,48.7,.,11405.1,883.9,11345.8,877.2
1981,6,49.5,.,11717,880.9,11375.6,887.9
1981,7,49.9,.,11835.7,864.5,11336.4,879.4
1981,8,50.3,.,11836.6,824,11353.8,861.2
1981,9,50.7,.,11399.9,921.4,11328.7,1003.9
1981,10,51.2,.,11360.5,932.8,11300.1,1020.4
1981,11,51.6,.,11247.1,962.9,11291.5,1019.5
1981,12,51.8,.,11065.9,1030.4,11236,1071.7
1982,1,52.2,.,10801.5,1143.2,11205.6,1059.7
1982,2,52.8,.,10823.4,1161.5,11166.9,1092.8
1982,3,53.5,.,10858.1,1279.2,11140.5,1139.7
1982,4,53.8,.,10834.8,1276.8,11076.3,1204.8
1982,5,54.5,.,11078.7,1285.7,11021.9,1271.4
1982,6,55.1,.,11260.8,1343.5,10940.6,1364.3
1982,7,55.4,.,11355.3,1446.6,10893.6,1465.2
1982,8,55.6,.,11242.8,1431.7,10836.3,1478.1
1982,9,55.9,.,10879,1391,10806.7,1527
1982,10,56.3,.,10852.6,1456.4,10787.2,1602.1
1982,11,56.6,.,10721.9,1512.1,10764.1,1600.4
1982,12,56.6,.,10615.1,1570,10774.1,1624.4
1983,1,56.5,.,10400.1,1680.2,10801.1,1572.9
1983,2,56.8,.,10484,1670.7,10818.2,1573.6
1983,3,57.4,.,10600.5,1737.6,10874.9,1554.7
1983,4,57.4,.,10692.2,1649.4,10932.6,1553.7
1983,5,57.5,.,11058.4,1571.5,10952.5,1556.5
1983,6,58.1,.,11336.4,1526.8,11021.4,1557.3
1983,7,58.4,.,11535.9,1481.4,11073.4,1492.9
1983,8,58.7,.,11540.9,1427.5,11126.6,1472.8
1983,9,58.7,.,11245.2,1314,11174.2,1432
1983,10,59.1,.,11229.2,1292.8,11163.3,1419.2
1983,11,59.1,.,11114.9,1335.9,11162,1415.9
1983,12,59.2,.,11026.3,1379.5,11187.4,1429.1
1984,1,59.6,.,10756.2,1501.2,11168.6,1423.3
1984,2,59.9,.,10863.8,1510.3,11203.9,1425.4
1984,3,60,.,10926.7,1582.7,11205.9,1424.7
1984,4,60.2,.,10988.6,1530.8,11198.5,1456
1984,5,60.2,.,11346.3,1506.6,11245.5,1494
1984,6,60.6,.,11619.7,1407.8,11314.5,1442.9
1984,7,60.8,.,11839.9,1381.1,11356.6,1427.1
1984,8,60.8,.,11774.6,1393.8,11349.3,1441.1
1984,9,60.9,.,11439.7,1403.6,11373.8,1527.9
1984,10,61.1,.,11446.4,1356,11387.7,1455.6
1984,11,61.4,.,11337.6,1412.3,11391.1,1462.3
1984,12,61.4,.,11281.3,1367.9,11430.3,1425.9
1985,1,61.7,.,11106.5,1471.4,11481.7,1364.7
1985,2,62.1,.,11164.5,1473.8,11506.3,1386
1985,3,62.2,.,11248.2,1577.3,11531.4,1421.4
1985,4,62.5,.,11359.7,1476.4,11571.5,1404.4
1985,5,62.7,.,11717.2,1380.1,11613.7,1371.8
1985,6,63,.,11925.3,1351.9,11627,1391.3
1985,7,63.3,.,12155.7,1327.4,11681.1,1358.4
1985,8,63.3,.,12139.3,1307,11712.1,1348.1
1985,9,63.4,.,11794.8,1233.4,11723.3,1331.7
1985,10,63.6,.,11811.2,1252.5,11754,1355.4
1985,11,63.8,.,11764,1295.3,11819,1350.2
1985,12,64.1,.,11709.6,1270.2,11860.5,1326.1
1986,1,64.4,.,11523.4,1391.2,11903.5,1300.2
1986,2,64.7,.,11579.2,1389.1,11917.9,1303.8
1986,3,64.9,.,11645.3,1438.5,11926.3,1298.6
1986,4,64.9,.,11791.8,1349.1,12008.1,1284.2
1986,5,65.3,.,12080.7,1266.7,11977.2,1259.5
1986,6,65.4,.,12373.4,1242.5,12016.9,1272.9
1986,7,65.9,.,12480.7,1255.2,12017.1,1271.3
1986,8,66,.,12452.3,1237.3,12024.7,1277.5
