YEAR,Q,usgdp,c_hh,c_np,y,gdp_nsa
1961,1,545.018,193805,2992,363923,.
1961,2,555.545,197421,3129,373138,.
1961,3,567.664,202241,3232,382218,11356
1961,4,580.612,203009,3262,387418,10951
1962,1,594.013,207687,3365,397727,10309
1962,2,600.366,208873,3532,400888,10979
1962,3,609.027,207986,3703,406015,12674
1962,4,612.28,211777,3840,413982,11777
1963,1,621.672,213212,3879,416607,11007
1963,2,629.752,217082,3982,422666,11775
1963,3,644.444,218342,3986,425878,13594
1963,4,653.938,222099,4020,439206,12837
1964,1,669.822,226274,4020,450201,12285
1964,2,678.674,226918,4020,451887,13001
1964,3,692.031,231404,4089,456710,14761
1964,4,697.319,233048,4265,459001,13929
1965,1,717.79,235172,4334,473602,13317
1965,2,730.191,240839,4338,477938,14277
1965,3,749.323,244765,4407,484608,16311
1965,4,771.857,249765,4544,496485,15647
1966,1,795.734,251393,4642,506146,14987
1966,2,804.981,252687,4642,517072,16213
1966,3,819.638,257358,4779,516825,18377
1966,4,833.302,257448,4809,523230,17127
1967,1,844.17,259850,4672,522051,16240
1967,2,848.983,264618,4775,532927,17657
1967,3,865.233,264291,4706,534607,19391
1967,4,881.439,269596,4637,536936,18525
1968,1,909.387,272466,4504,541513,17608
1968,2,934.344,273726,4371,556071,19003
1968,3,950.825,278975,4440,563816,21317
1968,4,968.03,282896,4264,571623,20546
1969,1,993.337,289370,4328,579449,19581
1969,2,1009.02,288064,4392,581833,21082
1969,3,1029.956,290788,4567,588288,23235
1969,4,1038.147,294392,4533,596601,22532
1970,1,1051.2,291596,4606,600288,21537
1970,2,1067.375,293698,4674,600338,22875
1970,3,1086.059,299342,4644,606551,24677
1970,4,1088.608,302110,4747,607472,24065
1971,1,1135.156,300150,4649,604347,22604
1971,2,1156.271,310477,4884,621993,24882
1971,3,1177.675,317353,5060,639182,27324
1971,4,1190.297,324240,4962,646168,26854
1972,1,1230.609,325369,5279,644006,25457
1972,2,1266.369,333471,5258,662263,28038
1972,3,1290.566,336070,5434,664228,30055
1972,4,1328.904,343714,5571,679830,29972
1973,1,1377.49,352962,5374,697278,29303
1973,2,1413.887,355425,5357,703930,32085
1973,3,1433.838,358041,5588,707203,35682
1973,4,1476.289,364379,5866,720247,35896
1974,1,1491.209,374470,5926,726208,35106
1974,2,1530.056,376277,6414,733657,37914
1974,3,1560.026,378006,6119,733798,43523
1974,4,1599.679,373504,6162,729975,41633
1975,1,1616.116,381724,6201,725998,39211
1975,2,1651.853,386436,6295,735312,42052
1975,3,1709.82,393340,6475,749419,49369
1975,4,1761.831,400070,6514,758091,47296
1976,1,1820.487,399815,6672,771302,46287
1976,2,1852.332,410171,6869,787935,50106
1976,3,1886.558,411714,6925,791573,56109
1976,4,1934.273,420155,7062,792852,53484
1977,1,1988.648,418612,7083,805013,52324
1977,2,2055.909,417567,7220,809121,54807
1977,3,2118.473,424081,7062,813877,61445
1977,4,2164.27,428064,7041,826774,59025
1978,1,2202.76,431165,7144,833914,57410
1978,2,2331.633,434052,7200,839590,60973
1978,3,2395.053,436086,7436,847422,68069
1978,4,2476.949,437306,7616,855457,65623
1979,1,2526.61,443397,7890,862282,64788
1979,2,2591.247,443408,8301,873721,70150
1979,3,2667.565,444640,8104,880126,77376
1979,4,2723.883,445758,8301,886031,75295
1980,1,2789.842,448668,8468,892183,74197
1980,2,2797.352,446922,8361,891793,77575
1980,3,2856.483,454577,8451,891052,86291
1980,4,2985.557,457153,8922,903381,84720
1981,1,3124.206,457893,9273,922843,84538
1981,2,3162.532,457459,9080,932933,89420
1981,3,3260.609,455028,8904,924545,99242
1981,4,3280.818,456126,8735,920293,95158
1982,1,3274.302,449363,8416,909761,91630
1982,2,3331.972,445804,8265,899287,94040
